"id","serial_no","record_string","machine_type","part","result","order_no","operator","input_date","update_date","sheet_config_id_id"
"1","G16506000_0_190530_1","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16506000"",""machine"":""Global S B Green/Global S C Green"",""group"":""4"",""title"":""Global B/C/D X 向速器装配工序记录表"",""version"":""1"",""ordernbr"":""0"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40.1"":""OKAY"",""date40.1"":""2019-05-30"",""comment40.1"":"""",""result40.2"":""OKAY"",""date40.2"":""2019-05-30"",""comment40.2"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""118"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result60"":""OKAY"",""date60"":""2019-05-30"",""comment60"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result"":1}","Global S B Green/Global S C Green","G16506000","1","0","wangchunrui","2019-05-30 13:37:08.638742","2019-05-30 13:37:08.638742","4"
"2","G16506000_0_190530_2","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16506000"",""machine"":""Global S B Green/Global S C Green"",""group"":""4"",""title"":""Global B/C/D X 向速器装配工序记录表"",""version"":""1"",""ordernbr"":""0"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40.1"":""OKAY"",""date40.1"":""2019-05-30"",""comment40.1"":"""",""result40.2"":""OKAY"",""date40.2"":""2019-05-30"",""comment40.2"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""119"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result60"":""OKAY"",""date60"":""2019-05-30"",""comment60"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result"":1}","Global S B Green/Global S C Green","G16506000","1","0","wangchunrui","2019-05-30 13:37:23.302930","2019-05-30 13:37:23.302930","4"
"3","G16506000_0_190530_3","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16506000"",""machine"":""Global S B Green/Global S C Green"",""group"":""4"",""title"":""Global B/C/D X 向速器装配工序记录表"",""version"":""1"",""ordernbr"":""0"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40.1"":""OKAY"",""date40.1"":""2019-05-30"",""comment40.1"":"""",""result40.2"":""OKAY"",""date40.2"":""2019-05-30"",""comment40.2"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""120"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result60"":""OKAY"",""date60"":""2019-05-30"",""comment60"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result"":1}","Global S B Green/Global S C Green","G16506000","1","0","wangchunrui","2019-05-30 13:37:37.499112","2019-05-30 13:37:37.499112","4"
"4","G16500700_476766_190530_1","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""476766"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""204"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","476766","wangchunrui","2019-05-30 14:21:28.332440","2019-05-30 14:21:28.332440","5"
"5","G16500700_476766_190530_2","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""476766"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""205"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","476766","wangchunrui","2019-05-30 14:21:42.965427","2019-05-30 14:21:42.965427","5"
"6","G16500700_476766_190530_3","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""476766"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""207"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","476766","wangchunrui","2019-05-30 14:21:56.740404","2019-05-30 14:21:56.740404","5"
"7","G16500700_476766_190530_4","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""476766"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""205"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","476766","wangchunrui","2019-05-30 14:22:10.062975","2019-05-30 14:22:10.062975","5"
"8","G16500700_476766_190530_5","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""476766"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""203"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","476766","wangchunrui","2019-05-30 14:22:21.373120","2019-05-30 14:22:21.373120","5"
"9","G16500700_0_190530_6","{""operator"":""wangchunrui"",""date"":""2019-05-30"",""part"":""G16500700"",""machine"":""Global S B Green/Global S C Green; Global B Per & Global C Per"",""group"":""5"",""title"":""Global B/C/D Y 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""0"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result20.3"":""OKAY"",""date20.3"":""2019-05-30"",""comment20.3"":"""",""result20.4"":""OKAY"",""date20.4"":""2019-05-30"",""comment20.4"":"""",""result30"":""OKAY"",""date30"":""2019-05-30"",""comment30"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""204"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result70"":""OKAY"",""date70"":""2019-05-30"",""comment70"":"""",""result80"":""OKAY"",""date80"":""2019-05-30"",""comment80"":"""",""result90"":""OKAY"",""date90"":""2019-05-30"",""comment90"":"""",""result"":1}","Global S B Green/Global S C Green; Global B Per & Global C Per","G16500700","1","0","wangchunrui","2019-05-30 14:22:44.601818","2019-05-30 14:22:44.601818","5"
"10","B545-0201-1-2_0_190530_1","{""operator"":""liutianshu"",""date"":""2019-05-30"",""part"":""B545-0201-1-2"",""machine"":""Inspector/Explorer/Pioneer(+)/Global Plus 5, 6, 8 系列"",""group"":""1"",""title"":""Global A X 向减速器装配工序记录表"",""version"":""1"",""ordernbr"":""0"",""result10.1"":""OKAY"",""date10.1"":""2019-05-30"",""comment10.1"":"""",""result10.2"":""OKAY"",""date10.2"":""2019-05-30"",""comment10.2"":"""",""result20.1"":""OKAY"",""date20.1"":""2019-05-30"",""comment20.1"":"""",""result20.2"":""OKAY"",""date20.2"":""2019-05-30"",""comment20.2"":"""",""result30.1"":""OKAY"",""date30.1"":""2019-05-30"",""comment30.1"":"""",""result30.2"":""OKAY"",""date30.2"":""2019-05-30"",""comment30.2"":"""",""result40"":""OKAY"",""date40"":""2019-05-30"",""comment40"":"""",""result50.1"":""OKAY"",""date50.1"":""2019-05-30"",""comment50.1"":"""",""result50.2"":""OKAY"",""date50.2"":""2019-05-30"",""comment50.2"":"""",""result60.1"":""OKAY"",""date60.1"":""2019-05-30"",""comment60.1"":"""",""result60.2"":""OKAY"",""date60.2"":""2019-05-30"",""comment60.2"":"""",""result60.3"":""271"",""date60.3"":""2019-05-30"",""comment60.3"":"""",""result"":1}","Inspector/Explorer/Pioneer(+)/Global Plus 5, 6, 8 系列","B545-0201-1-2","1","0","liutianshu","2019-05-30 14:47:42.891826","2019-05-30 14:47:42.891826","1"
